objectid,bevoegd_gezag_nummer,brin_nummer,vestigingsnummer,vestigingsnaam,denominatie,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_3_jaar,lftd_4_jaar,lftd_5_jaar,lftd_6_jaar,lftd_7_jaar,lftd_8_jaar,lftd_9_jaar,lftd_10_jaar,lftd_11_jaar,lftd_12_jaar,lftd_13_jaar,lftd_14_jaar
42,11711,13UC,13UC00,Openbare Basisschool de Flint,Openbaar,J.P. Santeeweg,109,9312TA,NIETAP,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.obsdeflint.nl,223125,574849,pc6hnrgeentoev,,80,0,9,11,7,12,8,16,7,10,0,0,0
43,11711,13XM,13XM00,OBS Het Palet,Openbaar,Hoofdstraat,21-B,9315PA,RODERWOLDE,1699,NOORDENVELD,Drenthe,GGD Drenthe,www.obs-roderwolde.nl,227424,576214,pc6hnrtoev,,46,0,4,7,6,8,5,6,5,5,0,0,0
44,11711,14AU,14AU00,OPB Basisschool Steenbergen,Openbaar,Giezenstraat,3,9305TG,RODERESCH,1699,NOORDENVELD,Drenthe,GGD Drenthe,                                                                                ,224508,570354,pc6hnrgeentoev,,34,0,2,3,3,5,4,5,5,5,2,0,0
45,13308,11GR,11GR00,Samenwerkingsschool Oostermoer,Algemeen bijzonder,Bonnerveen,7-A,9511PM,GIETERVEEN,1680,AA EN HUNZE,Drenthe,GGD Drenthe,                                                                                ,252148,560606,pc6hnr,,116,0,17,10,14,21,10,12,19,11,2,0,0
46,13785,14AS,14AS00,Baggelhuizenschool,Openbaar,Witterhoofdweg,1-B,9405HX,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.obs-baggelhuizen-assen.nl,231691,556186,pc6hnrtoev,,225,0,22,20,29,27,27,36,35,24,5,0,0
47,13785,14GR,14GR00,Openbare Basisschool De Driemaster,Openbaar,Amstelstraat,14-a,9406TH,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.obs-driemaster-assen.nl,232575,558603,pc6hnrtoev,,121,0,19,13,15,15,14,14,17,11,2,1,0
48,13785,14JI,14JI00,Emmaschool,Openbaar,Prinses Irenestraat,6,9401HH,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.emmaschool-assen.nl,233456,556772,pc6hnrgeentoev,,304,0,28,37,40,33,40,35,43,41,7,0,0
49,13785,14LV,14LV00,Basisschool Valkenhorst,Openbaar,Bremstraat,14,9404GD,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.obs-valkenhorst-assen.nl,235011,556405,pc6hnrgeentoev,,200,0,30,23,18,31,21,24,24,26,3,0,0
50,13785,15EF,15EF00,o.b.s.Theo Thijssen,Openbaar,Sluisstraat,139,9406AX,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.obstheothijssen.nl,233160,557160,pc6hnrgeentoev,,246,0,32,26,31,31,24,40,27,31,4,0,0
51,13785,15KJ,15KJ00,Basisschool de Vuurvogel,Openbaar,Obrechtlaan,1 - 3,9402TB,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.vuurvogel-assen.nl,233726,558534,pc6hnr,,182,0,20,22,17,22,29,25,18,24,5,0,0
52,13785,15PM,15PM00,De Veldkei,Openbaar,Veenwalweg,5 -7,9407AM,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.obs-veldkei-assen.nl,233540,559582,pc6hnr,,218,0,18,25,25,22,23,28,37,33,6,1,0
53,13785,21LT,21LT00,Basisschool De Marskramer,Openbaar,Kleuvenstee,1,9403LT,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.demarskramer.nl,235411,559748,pc6hnrgeentoev,,635,0,67,76,65,80,71,74,97,87,18,0,0
54,13785,24MU,24MU00,Openbare Basisschool Heksenketel,Openbaar,Tarwehullen,1,9403WD,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.deheksenketel.nl,235765,559851,pc6hnrgeentoev,,334,0,32,28,43,35,37,49,46,50,14,0,0
55,13785,26PN,26PN00,Het Sterrenschip,Openbaar,Schoolstraat,31,9408MB,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.sterrenschip.nl,230643,557714,pc6hnrgeentoev,,408,0,41,38,64,52,45,42,54,60,12,0,0
56,13785,27WY,27WY00,Openbare Basisschool Kloosterveen,Openbaar,De Boomgaard,5,9408JA,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.obs-kloosterveen-assen.nl,230130,558106,pc6hnrgeentoev,,677,0,104,98,107,78,96,77,65,48,4,0,0
57,20253,00DX,00DX00,Vrije School Assen,Antroposofisch,Tuinstraat,1,9404KK,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.vrijeschoolassen.nl,235021,556555,pc6hnrgeentoev,,170,0,16,25,23,20,19,23,21,21,2,0,0
58,31089,23VG,23VG00,Montessorisch Hoogeveen,Algemeen bijzonder,De Karn,5,7908NX,HOOGEVEEN,118,HOOGEVEEN,Drenthe,GGD Drenthe,                                                                                ,226080,525989,pc6hnrgeentoev,,132,0,12,11,13,12,19,18,25,16,5,1,0
59,32073,04TG,04TG00,Christelijke Basisschool DRIJBER,Protestants-Christelijk,Nijenkamp,29,9419TM,DRIJBER,1731,MIDDEN-DRENTHE,Drenthe,GGD Drenthe,www.cbsdrijber.nl,233230,534024,pc6hnrgeentoev,,39,0,3,6,6,2,5,4,7,3,3,0,0
