objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
45,41671,16TL,16TL00,Protestants Christelijke Zeer Moeilijk Lerende Kinderen School De Lelie,Protestants-Christelijk,(V)SO,3,Thorbeckelaan,49,3842DP,HARDERWIJK,243,HARDERWIJK,Gelderland,GGD Noord- en Oost-Gelderland,www.delelie.net,172470,483943,pc6hnrgeentoev,,114,12.5,23.5,29.25,30,18.75,0
46,41671,16TL,16TL01,Protestants Christelijke Zeer Moeilijk Lerende Kinderen School De Lelie,Protestants-Christelijk,(V)SO,3,Enckerkamp,16,3853HL,ERMELO,233,ERMELO,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,169437,481034,pc6hnrgeentoev,,16,0,1.75,4.5,8,1.75,0
47,42531,02CP,02CP00,De Wingerd,Protestants-Christelijk,(V)SO,3,Oosterlaan,147,8072BW,NUNSPEET,302,NUNSPEET,Gelderland,GGD Noord- en Oost-Gelderland,www.dewingerdnunspeet.nl,183403,488328,pc6hnrgeentoev,,94,3.25,16.5,16.25,32.25,25.75,0
48,42572,00RT,00RT01,NBS v ZMOK De Sonnewijser,Algemeen bijzonder,(V)SO,4,Jac Cremerstraat,1,4001XM,TIEL,281,TIEL,Gelderland,GGD Rivierenland,                                                                                ,157855,433552,pc6hnrgeentoev,,98,0,0,20.75,68.75,8.5,0
49,43058,03RH,03RH00,St Tarcisiusschool,Rooms-Katholiek,(V)SO,4,Pater Eijmardweg,19,6525RL,NIJMEGEN,268,NIJMEGEN,Gelderland,GGD Regio Nijmegen,www.tarcisiusschool.nl,188235,425004,pc6,,162,3.75,20,43.5,63.5,31.25,0
50,62129,01AJ,01AJ00,Dr A Verschoor School,Algemeen bijzonder,(V)SO,4,Groenelaantje,40,8072DD,NUNSPEET,302,NUNSPEET,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,183143,487039,pc6hnrgeentoev,,334,50.5,126.5,139.5,17.5,0,0
51,70163,18QP,18QP00,De Leeuwerik,Openbaar,(V)SO,3,Bleekenweg,1-b,7161AB,NEEDE,1859,BERKELLAND,Gelderland,GGD Noord- en Oost-Gelderland,                                                                                ,238904,460919,pc6hnr,,123,9.25,21.5,18.5,33.25,40.5,0
52,72464,02VX,02VX00,De Zonnehoek Chr Sch v Spec Ond ZMLK,Protestants-Christelijk,(V)SO,3,Citroenvlinder,77,7323RC,APELDOORN,200,APELDOORN,Gelderland,GGD Noord- en Oost-Gelderland,www.cso-dezonnehoek.nl,196700,472226,pc6hnrgeentoev,,219,16.5,32.75,45.75,57.75,66.25,0
53,76689,03IJ,03IJ00,Scholencombinatie De Radar,Algemeen bijzonder,(V)SO,3 en 4,Wijnand van Arnhemweg,1,6862XM,OOSTERBEEK,274,RENKUM,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,187087,443796,pc6hnrgeentoev,,336,2,24.75,85.5,126.25,97.5,0
54,76689,23GK,23GK00,Scholencombinatie De Radar,Algemeen bijzonder,(V)SO,4,Bakenbergseweg,76,6814MK,ARNHEM,202,ARNHEM,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,189475,444952,pc6hnrgeentoev,,288,0,0,26,183.25,78.75,0
55,76689,23GK,23GK05,Scholencombinatie De Radar,Algemeen bijzonder,(V)SO,4,Hendrik Stafweg,2,6712EA,EDE GLD,228,EDE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,173849,451309,pc6hnrgeentoev,,105,0,0,13.5,73.25,18.25,0
56,77456,22ML,22ML00,de Lans,Algemeen bijzonder,(V)SO,3,Zutphensestraat,175,6971JR,BRUMMEN,213,BRUMMEN,Gelderland,GGD Noord- en Oost-Gelderland,www.schooldelans.nl,207967,458060,pc6hnrgeentoev,,102,3.5,13,21,32.25,32.25,0
57,84515,26MW,26MW00,School voor (V)SO Rehoboth cluster3/cluster4,Reformatorisch,(V)SO,3 en 4,Verlengde Parkweg,47-b,6717GL,EDE GLD,228,EDE,Gelderland,Hulpverlening Gelderland-Midden,                                                                                ,173337,448695,pc6hnrtoev,,119,6,22.5,39.5,34.25,16.75,0
58,84515,26MW,26MW01,School voor (V)SO Rehoboth cluster 3,Reformatorisch,(V)SO,3,Het Katsland,4,4051KA,OCHTEN,1740,NEDER-BETUWE,Gelderland,GGD Rivierenland,                                                                                ,167177,435713,pc6hnrgeentoev,,20,0,6.75,10.25,3,0,0
