objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
419,11095,01UR,01UR00,SBO De Piramide,Openbaar,SBAO,0,Tweeboomlaan,102-A,1624EH,HOORN NH,405,HOORN,Noord-Holland,GGD Hollands-Noorden,                                                                                ,133047,517994,pc6hnrtoev,,94,0,5,88.25,0.75,0,0
420,11095,01UR,01UR01,Openbare School voor Speciaal Basisonderwijs,Openbaar,SBAO,0,Tweeboomlaan,102-A,1624EH,HOORN NH,405,HOORN,Noord-Holland,GGD Hollands-Noorden,                                                                                ,133047,517994,pc6hnrtoev,,99,18,67.25,13.75,0,0,0
421,13622,19RS,19RS00,School voor Speciaal Basisonderwijs Dr JP Heije,Openbaar,SBAO,0,Prins Hendriklaan,30,2132DR,HOOFDDORP,394,HAARLEMMERMEER,Noord-Holland,GGD Kennemerland,www.sbojpheijeschool.sopoh.nl,108066,479456,pc6hnrgeentoev,,124,11.75,47.25,63.5,1.5,0,0
422,26158,02EH,02EH00,School voor Speciaal Basisonderwijs De Zeearend,Algemeen bijzonder,SBAO,0,De Dalen,1,1945NC,BEVERWIJK,375,BEVERWIJK,Noord-Holland,GGD Kennemerland,www.dezeearend.nl,105622,501377,pc6hnrgeentoev,,110,5.5,33,67.75,3.75,0,0
423,30742,00JY,00JY00,School voor Speciaal Basisonderwijs Kompas,Algemeen bijzonder,SBAO,0,Drs. F. Bijlweg,234,1784MC,DEN HELDER,400,DEN HELDER,Noord-Holland,GGD Hollands-Noorden,                                                                                ,112567,550249,pc6hnrgeentoev,,118,11.25,53.5,53.25,0,0,0
424,30742,18VP,18VP00,School voor Speciaal Basisonderwijs Kompas,Openbaar,SBAO,0,Molenstraat,80,1791DM,DEN BURG,448,TEXEL,Noord-Holland,GGD Hollands-Noorden,                                                                                ,115265,562913,pc6hnrgeentoev,,19,0.75,5.25,12.25,0.75,0,0
425,30781,20KN,20KN00,School voor Speciaal Basisonderwijs Iedersland,Protestants-Christelijk,SBAO,0,Johan Braakensiekhof,31,1068KK,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,                                                                                ,116013,485082,pc6hnrgeentoev,,75,0,22.75,52.25,0,0,0
426,30781,20OF,20OF00,School voor Speciaal Basisonderwijs Zeppelin,Protestants-Christelijk,SBAO,0,Bessenpad,1,1033LW,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,                                                                                ,121505,491515,pc6hnrgeentoev,,53,0.75,21.5,30.75,0,0,0
427,41008,02TL,02TL00,School voor Speciaal Basisonderwijs De Dolfijn,Rooms-Katholiek,SBAO,0,Randhoornweg,31,1422WX,UITHOORN,451,UITHOORN,Noord-Holland,GGD Amsterdam,www.dedolfijn.nl,115272,473825,pc6hnrgeentoev,,141,13.5,54.75,72.75,0,0,0
428,41008,02WW,02WW00,"De Klimboom, school voor Speciaal Basisonderwijs",Algemeen bijzonder,SBAO,0,Liesbos,14 - 16,2134SB,HOOFDDORP,394,HAARLEMMERMEER,Noord-Holland,GGD Kennemerland,www.deklimboomhoofddor.nl,105226,481383,pc6hnr,,83,1.25,30.75,51,0,0,0
429,41008,03CG,03CG00,De Fakkel,Algemeen bijzonder,SBAO,0,Athenelaan,11,2152KL,NIEUW-VENNEP,394,HAARLEMMERMEER,Noord-Holland,GGD Kennemerland,www.aloysiusstichting.nl,103585,476511,pc6hnrgeentoev,,86,2.25,37.75,46,0,0,0
430,41008,05ZN,05ZN00,School voor Speciaal Basisonderwijs Het Kompas,Algemeen bijzonder,SBAO,0,Anne Franklaan,20,2135HA,HOOFDDORP,394,HAARLEMMERMEER,Noord-Holland,GGD Kennemerland,www.aloysiusstichting.nl,106015,479259,pc6hnrgeentoev,,135,7.5,40.25,87.25,0,0,0
431,41012,23XJ,23XJ00,School voor Speciaal Basisonderwijs Het Plankier,Rooms-Katholiek,SBAO,0,Wales,4,1448JK,PURMEREND,439,PURMEREND,Noord-Holland,GGD Zaanstreek/Waterland,                                                                                ,124798,502110,pc6hnrgeentoev,,118,3,45,69.25,0.75,0,0
432,41019,03PE,03PE00,School voor Speciaal Basisonderwijs t Palet,Algemeen bijzonder,SBAO,0,Verlengde Raadhuislaan,1,1613PN,GROOTEBROEK,532,STEDE BROEC,Noord-Holland,GGD Hollands-Noorden,                                                                                ,143544,523556,pc6hnrgeentoev,,110,0,6.5,103.5,0,0,0
433,41019,03PE,03PE01,School voor Speciaal Basisonderwijs t Palet,Algemeen bijzonder,SBAO,0,Princenhof,4,1611WS,BOVENKARSPEL,532,STEDE BROEC,Noord-Holland,GGD Hollands-Noorden,                                                                                ,144907,522422,pc6hnrgeentoev,,144,32.75,98.5,12.75,0,0,0
434,41251,00UN,00UN00,Oecumenische School voor Speciaal Basisonderwijs Sjalom,Protestants-Christelijk,SBAO,0,Jachtenlaan,9,1503HS,ZAANDAM,479,ZAANSTAD,Noord-Holland,GGD Zaanstreek/Waterland,www.ssbo-sjalom.nl,117436,495562,pc6hnrgeentoev,,84,17.75,29,37.25,0,0,0
435,41364,23KC,23KC00,School voor Speciaal Basisonderwijs De Witte Raven,Openbaar,SBAO,0,Van Foreeststraat,6,1701BA,HEERHUGOWAARD,398,HEERHUGOWAARD,Noord-Holland,GGD Hollands-Noorden,www.witteravenhhw.nl,118384,520810,pc6hnrgeentoev,,38,1,16.25,20.75,0,0,0
436,41375,19TE,19TE00,School voor Speciaal Basisonderwijs De Boekanier,Openbaar,SBAO,0,Willemsbeekweg,80,1971GZ,IJMUIDEN,453,VELSEN,Noord-Holland,GGD Kennemerland,                                                                                ,103140,496989,pc6hnrgeentoev,,185,12.25,66.75,105.25,0.75,0,0
437,41395,19TU,19TU00,Regionaal Samenwerkingsverband en Orthopedagogisch Onderwijsinstituut,Openbaar,SBAO,0,Laapersboog,9,1213VC,HILVERSUM,402,HILVERSUM,Noord-Holland,GGD Gooi en Vechtstreek,www.amgs.nl,141229,469391,pc6hnrgeentoev,,224,23,84.75,115.5,0.75,0,0
438,41434,18GL,18GL00,School voor Speciaal Basisonderwijs De Botter,Openbaar,SBAO,0,Hendric Dirckszstraat,27,1135HL,EDAM,385,EDAM-VOLENDAM,Noord-Holland,GGD Zaanstreek/Waterland,www.sbodebotter.nl,131913,502064,pc6hnrgeentoev,,68,0.5,21,40.5,6,0,0
439,41438,11HX,11HX00,School voor Speciaal Basisonderwijs De Tender,Openbaar,SBAO,0,Kievitlaan,25,1742AB,SCHAGEN,441,SCHAGEN,Noord-Holland,GGD Hollands-Noorden,www.de-tender.nl,114468,533204,pc6hnrgeentoev,,98,3.75,39,54.5,0.75,0,0
440,41470,00RU,00RU00,School voor Speciaal Basisonderwijs De Wissel,Algemeen bijzonder,SBAO,0,Wilhelminalaan,1,1623MA,HOORN NH,405,HOORN,Noord-Holland,GGD Hollands-Noorden,www.dewissel-hoorn.nl,133325,517605,pc6hnrgeentoev,,238,23,80,132.75,2.25,0,0
441,41579,20XC,20XC00,SSBO De Kans,Openbaar,SBAO,0,Thomas van Aquinostraat,2,1064NE,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.sbodekans.nl,115858,487341,pc6hnrgeentoev,,155,17.25,57.75,75.5,4.5,0,0
442,41580,00JX,00JX00,School voor Speciaal Basisonderwijs Wending,Openbaar,SBAO,0,Ringslang,13-A,1187BT,AMSTELVEEN,362,AMSTELVEEN,Noord-Holland,GGD Amsterdam,www.sbo-wending.nl,116966,478015,pc6hnrtoev,,97,0.75,33.75,61,1.5,0,0
443,41580,03HT,03HT00,School voor Speciaal Basisonderwijs De Schakel,Openbaar,SBAO,0,Oostelijk Halfrond,7,1183EL,AMSTELVEEN,362,AMSTELVEEN,Noord-Holland,GGD Amsterdam,                                                                                ,120288,480151,pc6hnrgeentoev,,113,17.5,40.5,53.5,1.5,0,0
444,41716,21DE,21DE00,School voor Speciaal Basisonderwijs Prof Dr IC v Houte,Openbaar,SBAO,0,Leksmondplein,27,1108EL,AMSTERDAM ZUIDOOST,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.vanhouteschool.nl,127180,480148,pc6hnrgeentoev,,108,10,46,52,0,0,0
445,41774,20WT,20WT00,School voor Speciaal Basisonderwijs Het Spectrum,Openbaar,SBAO,0,James Wattstraat,10,1097DM,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.spectrum.edu.amsterdam.nl,123548,485049,pc6hnrgeentoev,,119,13.75,29.25,75.25,0.75,0,0
446,41774,20WT,20WT01,School voor Speciaal Basisonderwijs Het Spectrum,Openbaar,SBAO,0,Kraaipanstraat,56,1091PM,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,                                                                                ,123003,484957,pc6hnrgeentoev,,37,2.75,20.25,14,0,0,0
447,41852,16LH,16LH00,School voor Speciaal Basisonderwijs Het Dok,Openbaar,SBAO,0,Tjotterlaan,2,1503LB,ZAANDAM,479,ZAANSTAD,Noord-Holland,GGD Zaanstreek/Waterland,                                                                                ,117440,495446,pc6hnrgeentoev,,93,10.25,27.25,54.75,0.75,0,0
448,41852,17UI,17UI00,Openbare School voor Speciaal Onderwijs De Boei,Openbaar,SBAO,0,Tulpstraat,18,1521WB,WORMERVEER,479,ZAANSTAD,Noord-Holland,GGD Zaanstreek/Waterland,                                                                                ,114550,501008,pc6hnrgeentoev,,102,9.75,37.25,55,0,0,0
449,41853,18GX,18GX00,Opb sch voor speciaal basisonderwijs Focus,Openbaar,SBAO,0,Houtmanpad,33,2014AZ,HAARLEM,392,HAARLEM,Noord-Holland,GGD Kennemerland,www.focus-sbo.nl,102511,488731,pc6hnrgeentoev,,118,1.75,41.75,74.5,0,0,0
450,41853,18QX,18QX00,School voor Speciaal Basisonderwijs Hildebrand,Openbaar,SBAO,0,Laan van Parijs,2,2034EG,HAARLEM,392,HAARLEM,Noord-Holland,GGD Kennemerland,www.hildebrandschool.nl,104532,485614,pc6,,59,2,21.5,35.5,0,0,0
451,41853,18RW,18RW00,School voor Speciaal Basisonderwijs Prof J J Dumont,Openbaar,SBAO,0,Niels Finsenstraat,35,2035CZ,HAARLEM,392,HAARLEM,Noord-Holland,GGD Kennemerland,www.dumonthaarlem.nl,105379,486451,pc6hnrgeentoev,,88,13.75,34.5,39.75,0,0,0
452,42514,19XX,19XX00,School voor Speciaal Basisonderwijs De Piramide,Openbaar,SBAO,0,Kortenaerkade,22,1813SV,ALKMAAR,361,ALKMAAR,Noord-Holland,GGD Hollands-Noorden,                                                                                ,112568,515063,pc6hnrgeentoev,,115,12.5,42.75,57.5,2.25,0,0
453,42553,20YX,20YX00,School voor Speciaal Basisonderwijs Universum,Openbaar,SBAO,0,Th Weeversweg,4,1025AW,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,                                                                                ,124962,490173,pc6hnrgeentoev,,154,16,50.5,86.75,0.75,0,0
454,42558,19UM,19UM00,School voor Speciaal Basisonderwijs Het Tangram,Openbaar,SBAO,0,Karekietpark,10 -14,1444HV,PURMEREND,439,PURMEREND,Noord-Holland,GGD Zaanstreek/Waterland,www.sbohettangram.nl,126335,503773,pc6hnr,,174,42.5,61.5,70,0,0,0
455,60997,20GF,20GF00,School voor Speciaal Katholiek Basisonderwijs De Vlindertuin,Rooms-Katholiek,SBAO,0,Slochterwaard,176,1824KV,ALKMAAR,361,ALKMAAR,Noord-Holland,GGD Hollands-Noorden,                                                                                ,112754,517850,pc6hnrgeentoev,,116,9,35,71.25,0.75,0,0
456,72853,02RQ,02RQ00,RK School voor Speciaal Basisonderwijs St Vincentius,Rooms-Katholiek,SBAO,0,Meidoornstraat,17,1131BJ,VOLENDAM,385,EDAM-VOLENDAM,Noord-Holland,GGD Zaanstreek/Waterland,                                                                                ,133253,500754,pc6hnrgeentoev,,81,12.75,32,35.5,0.75,0,0
457,73919,01LP,01LP00,Oecumenische School voor Speciaal Basisonderwijs Bommelstein,Algemeen bijzonder,SBAO,0,Van Teylingenlaan,5,1701AA,HEERHUGOWAARD,398,HEERHUGOWAARD,Noord-Holland,GGD Hollands-Noorden,www.sbo-bommelstein.nl,118418,520857,pc6hnrgeentoev,,73,1.75,24.75,46.5,0,0,0
458,77690,01VF,01VF00,Speciale School voor Basisonderwijs Dr J J Dumont,Algemeen bijzonder,SBAO,0,Woudrichemstraat,2 -4,1107NG,AMSTERDAM ZUIDOOST,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.dumontschool.nl,127753,478492,pc6hnr,,86,6.25,24.5,55.25,0,0,0
459,77690,06ZQ,06ZQ00,Kolom SBO Zuid Locatie Meander,Algemeen bijzonder,SBAO,0,Winterdijkstraat,10,1079GT,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.kolom-sbo-zuid.nl,122055,484085,pc6hnrgeentoev,,80,9,28,42.25,0.75,0,0
460,77690,18YA,18YA00,School voor Speciaal Basisonderwijs De Hasselbraam,Rooms-Katholiek,SBAO,0,Karel Klinkenbergstraat,40,1061AN,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.sbodehasselbraam.nl,117455,486825,pc6hnrgeentoev,,186,17.25,68.75,97.75,2.25,0,0
461,77690,19HM,19HM00,School voor Speciaal Basisonderwijs St Paulus,Rooms-Katholiek,SBAO,0,Dufaystraat,19,1075GS,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,www.stpaulusschool-sbo.nl,119656,485136,pc6hnrgeentoev,,83,1.5,24.5,49.5,7.5,0,0
462,77690,19XM,19XM00,School voor Speciaal Basisonderwijs De Driesprong,Rooms-Katholiek,SBAO,0,Sloterweg,1192,1066CV,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,                                                                                ,114940,483928,pc6hnrgeentoev,,91,5.25,28,57,0.75,0,0
463,78912,13IT,13IT00,School voor Speciaal Basisonderwijs C Hummeling,Rooms-Katholiek,SBAO,0,Peter Planciusplein,12,1212BW,HILVERSUM,402,HILVERSUM,Noord-Holland,GGD Gooi en Vechtstreek,www.atscholen.nl,141795,469923,pc6hnrgeentoev,,86,15.5,29.25,39,2.25,0,0
464,83163,15AK,15AK00,School voor Speciaal Basisonderwijs De Satelliet,Rooms-Katholiek,SBAO,0,Albert Schweitzerlaan,8,2037RS,HAARLEM,392,HAARLEM,Noord-Holland,GGD Kennemerland,www.stichtingsintbavo.nl,105192,485370,pc6hnrgeentoev,,87,2.75,28.25,53.75,2.25,0,0
465,84463,04FC,04FC00,School voor Speciaal Basisonderwijs Tobias,Algemeen bijzonder,SBAO,0,Rietwijkerstraat,55,1059VX,AMSTERDAM,363,AMSTERDAM,Noord-Holland,GGD Amsterdam,                                                                                ,118203,484752,pc6hnrgeentoev,,44,1,14,24.5,4.5,0,0
466,85035,04FL,04FL00,School voor Speciaal Basisonderwijs De Wijngaard,Protestants-Christelijk,SBAO,0,Jacob van Campenstraat,1,1271LP,HUIZEN,406,HUIZEN,Noord-Holland,GGD Gooi en Vechtstreek,www.sbodewijngaard.nl,145106,478061,pc6hnrgeentoev,,137,17,51,69,0,0,0
467,85035,08SR,08SR00,Het Mozaiek,Protestants-Christelijk,SBAO,0,Van Strijlandstraat,6,1222ES,HILVERSUM,402,HILVERSUM,Noord-Holland,GGD Gooi en Vechtstreek,www.sbomozaiek.nl,140468,472538,pc6hnrgeentoev,,168,19.75,68,78.75,1.5,0,0
468,85035,10KT,10KT00,Christelijke School voor Speciaal Basisonderwijs Indon,Protestants-Christelijk,SBAO,0,Albert Neuhuijslaan,1,1401BW,BUSSUM,381,BUSSUM,Noord-Holland,GGD Gooi en Vechtstreek,                                                                                ,140756,476685,pc6hnrgeentoev,,75,3,25,45.5,1.5,0,0
469,85255,14WV,14WV00,SBO De Trapeze School voor Speciaal Basisonderwijs,Protestants-Christelijk,SBAO,0,Dinkelstraat,4,2025PH,HAARLEM,392,HAARLEM,Noord-Holland,GGD Kennemerland,www.sbodetrapeze.nl,104583,492084,pc6hnrgeentoev,,141,8.75,47.25,84.25,0.75,0,0
470,13605,19SP,19SP00,School voor Speciaal Basisonderwijs De Sluis,Openbaar,SBAO,0,Zwarteweg,120,8017AZ,ZWOLLE,193,ZWOLLE,Overijssel,GGD IJsselland,www.sbo-desluis.nl,203706,500845,pc6hnrgeentoev,,141,11.25,58.25,71.5,0,0,0
471,23128,21EM,21EM00,Speciale School voor Basisonderwijs De Toermalijn,Rooms-Katholiek,SBAO,0,Bosrand,6,7602CH,ALMELO,141,ALMELO,Overijssel,GGD Regio Twente,www.sbotoermalijn.nl,241621,487128,pc6hnrgeentoev,,173,8,55.5,105,4.5,0,0
472,30117,03BI,03BI00,School voor Speciaal Basisonderwijs Eliezer,Reformatorisch,SBAO,0,Hasselterdijk,33,8043PD,ZWOLLE,193,ZWOLLE,Overijssel,GGD IJsselland,                                                                                ,201165,504158,pc6hnrgeentoev,,143,18.75,58.75,64,1.5,0,0
473,40888,01CX,01CX00,School voor Speciaal Basisonderwijs De Vonder,Rooms-Katholiek,SBAO,0,Veenstraat,2,7776BE,SLAGHAREN,160,HARDENBERG,Overijssel,GGD IJsselland,                                                                                ,233946,516472,pc6hnrgeentoev,,73,9.5,22,39.25,2.25,0,0
474,40888,20QP,20QP00,Facet Onderwijs & Opvoeding,Rooms-Katholiek,SBAO,0,Palestrinalaan,915,8031VA,ZWOLLE,193,ZWOLLE,Overijssel,GGD IJsselland,www.sbodeschalm.nl,202433,504993,pc6hnrgeentoev,,124,20.5,51,51.75,0.75,0,0
475,40894,20AH,20AH00,School voor Speciaal Basisonderwijs De Horizon,Rooms-Katholiek,SBAO,0,Monumentstraat,55,8102AK,RAALTE,177,RAALTE,Overijssel,GGD IJsselland,www.horizonraalte.nl,215229,489432,pc6hnrgeentoev,,191,19.5,60.25,108.25,3,0,0
476,40934,02YE,02YE00,School voor Speciaal Basisonderwijs De Brug,Protestants-Christelijk,SBAO,0,Ruiterlaan,14,8019BR,ZWOLLE,193,ZWOLLE,Overijssel,GGD IJsselland,www.sbodebrug.nl,201194,501466,pc6hnrgeentoev,,222,28.75,94,96.25,3,0,0
477,40946,00MS,00MS00,School voor Speciaal Basisonderwijs Prof Waterink,Protestants-Christelijk,SBAO,0,Gramsbergerweg,50-A,7772CX,HARDENBERG,160,HARDENBERG,Overijssel,GGD IJsselland,www.profwaterinkschool.nl,239338,510562,pc6hnr,,131,10.75,41.5,76.5,2.25,0,0
478,41274,19RE,19RE00,Panta rhei school voor speciaal basisonderwijs,Algemeen bijzonder,SBAO,0,Koningin Wilhelminalaan,9,7415KP,DEVENTER,150,DEVENTER,Overijssel,GGD IJsselland,                                                                                ,208295,476114,pc6,,246,28.25,95.25,121,1.5,0,0
479,41472,20SQ,20SQ00,School voor Speciaal Basisonderwijs De Rank,Protestants-Christelijk,SBAO,0,Thorbeckelaan,186,7604XK,ALMELO,141,ALMELO,Overijssel,GGD Regio Twente,www.sbo-derank.nl,240896,486206,pc6hnrgeentoev,,77,11,30.5,32.5,3,0,0
480,41522,15UI,15UI00,School voor Speciaal Basisonderwijs De Oosteres,Openbaar,SBAO,0,Winkelsteeg,6,7607AT,ALMELO,141,ALMELO,Overijssel,GGD Regio Twente,                                                                                ,242500,486659,pc6hnrgeentoev,,105,6.25,40.75,57.25,0.75,0,0
481,41565,19DT,19DT00,School voor Speciaal Basisonderwijs De Spinaker,Openbaar,SBAO,0,Poolmansweg,245,7545LR,ENSCHEDE,153,ENSCHEDE,Overijssel,GGD Regio Twente,www.sbo-spinaker.nl,255631,471012,pc6hnrgeentoev,,130,12,38.25,79,0.75,0,0
482,41565,19KG,19KG00,School voor Speciaal Basisonderwijs De Tender,Openbaar,SBAO,0,Fleringenbrink,2,7544XN,ENSCHEDE,153,ENSCHEDE,Overijssel,GGD Regio Twente,Tender.consentenschede.nl,257222,468418,pc6hnrgeentoev,,211,31.75,79.25,96.25,3.75,0,0
483,41624,23VE,23VE00,Geref School voor Speciaal Basisonderwijs Wissel,Gereformeerd vrijgemaakt,SBAO,0,Stationsweg,20,7692AC,MARIENBERG,160,HARDENBERG,Overijssel,GGD IJsselland,www.wisselweb.nl,235828,503368,pc6hnrgeentoev,,41,1.75,17.75,21.5,0,0,0
484,41632,00BZ,00BZ00,Gereformeerde School voor Speciaal Basisonderwijs Het Speelwerk,Gereformeerd vrijgemaakt,SBAO,0,Bachlaan,152,8031HL,ZWOLLE,193,ZWOLLE,Overijssel,GGD IJsselland,                                                                                ,202414,504546,pc6hnrgeentoev,,84,8.75,31.5,43.75,0,0,0
485,41814,19TD,19TD00,SBO De Stiepel,Openbaar,SBAO,0,Jacques Perkstraat,11,7552JR,HENGELO OV,164,HENGELO,Overijssel,GGD Regio Twente,                                                                                ,253331,476293,pc6hnrgeentoev,,129,5.25,51.75,72,0,0,0
486,41816,19RN,19RN00,School voor Speciaal Basisonderwijs Burg Voetelink,Openbaar,SBAO,0,Verlaatseweg,10,8331PC,STEENWIJK,1708,STEENWIJKERLAND,Overijssel,GGD IJsselland,www.voetelinkschool.nl,203745,533309,pc6hnrgeentoev,,85,8.5,31.75,44.75,0,0,0
487,58761,15MK,15MK00,School voor Speciaal Basisonderwijs Dr Ariens,Rooms-Katholiek,SBAO,0,Park de Kotten,320,7522EN,ENSCHEDE,153,ENSCHEDE,Overijssel,GGD Regio Twente,                                                                                ,256886,473002,pc6hnrgeentoev,,207,17.75,78.25,108,3,0,0
488,61751,01KZ,01KZ00,Christelijke School voor Speciaal Basisonderwijs,Protestants-Christelijk,SBAO,0,Nassaustraat,2,7681AE,VROOMSHOOP,1700,TWENTERAND,Overijssel,GGD Regio Twente,                                                                                ,235176,497689,pc6hnrgeentoev,,121,22.25,38,60.75,0,0,0
489,62181,01AK,01AK00,School voor Speciaal Basisonderwijs Johan Seckel,Protestants-Christelijk,SBAO,0,De Schammelte,3,7731BL,OMMEN,175,OMMEN,Overijssel,GGD IJsselland,www.johanseckelommen.nl,225254,503204,pc6hnrgeentoev,,101,5.25,41.5,53.5,0.75,0,0
490,65287,23FW,23FW00,School voor Speciaal Basisonderwijs Beyaert,Rooms-Katholiek,SBAO,0,Schutzstraat,18 -20,7557RH,HENGELO OV,164,HENGELO,Overijssel,GGD Regio Twente,www.sbo-beyaert.nl,252211,476334,pc6hnr,,101,4.5,31,65.5,0,0,0
491,65287,23FW,23FW01,School voor Speciaal Basisonderwijs Beyaert,Rooms-Katholiek,SBAO,0,Elsbeekweg,10,7557CC,HENGELO OV,164,HENGELO,Overijssel,GGD Regio Twente,                                                                                ,251622,476340,pc6hnrgeentoev,,116,8.25,55,52.75,0,0,0
492,75219,13PM,13PM00,School voor Speciaal Basisonderwijs De Windroos,Rooms-Katholiek,SBAO,0,Lariksstraat,11,7572DE,OLDENZAAL,173,OLDENZAAL,Overijssel,GGD Regio Twente,www.sbodewindroos.nl,259712,481054,pc6hnrgeentoev,,193,11.5,74.25,105,2.25,0,0
493,77196,00ZS,00ZS00,School voor Speciaal Basisonderwijs Elim,Protestants-Christelijk,SBAO,0,Molenstraat,3,7462TK,RIJSSEN,1742,RIJSSEN-HOLTEN,Overijssel,GGD Regio Twente,                                                                                ,231797,480562,pc6hnrgeentoev,,106,18.75,43.75,41.75,1.75,0,0
494,85600,03ZN,03ZN00,Chr School voor Speciaal Basisonderwijs De Brug,Protestants-Christelijk,SBAO,0,Maasstraat,6,7442EJ,NIJVERDAL,163,HELLENDOORN,Overijssel,GGD Regio Twente,                                                                                ,229400,486534,pc6hnrgeentoev,,80,3.5,29.25,44.25,3,0,0
495,86971,02WY,02WY00,School voor Speciaal Basisonderwijs De Trimaran,Protestants-Christelijk,SBAO,0,Marinus Postlaan,1-A,8264PB,KAMPEN,166,KAMPEN,Overijssel,GGD IJsselland,www.trimarankampen.nl,189615,507706,pc6hnrtoev,,139,26.25,51,61.75,0,0,0
496,21881,00JL,00JL00,School voor Speciaal Basisonderwijs Kingma,Algemeen bijzonder,SBAO,0,Dorresteinseweg,7,3817GA,AMERSFOORT,307,AMERSFOORT,Utrecht,GGD Midden-Nederland,                                                                                ,155809,461557,pc6hnrgeentoev,,168,33.75,62,71.5,0.75,0,0
497,21881,14NB,14NB00,School voor Speciaal Basisonderwijs Anne Annema,Algemeen bijzonder,SBAO,0,Verdistraat,53,3816LB,AMERSFOORT,307,AMERSFOORT,Utrecht,GGD Midden-Nederland,www.stichtingso.nl,156570,462210,pc6hnrgeentoev,,172,4,71.25,93.75,3,0,0
498,30010,14RD,14RD00,School voor Speciaal Basisonderwijs Koningin Wilhelmina,Protestants-Christelijk,SBAO,0,Stevinstraat,2,3817WG,AMERSFOORT,307,AMERSFOORT,Utrecht,GGD Midden-Nederland,www.kwssbo.nl,155144,461510,pc6hnrgeentoev,,58,2.5,18.5,34,3,0,0
499,41154,16OH,16OH00,School voor Speciaal Basisonderwijs De Windroos,Protestants-Christelijk,SBAO,0,Zuiderkruis,740,3902XX,VEENENDAAL,345,VEENENDAAL,Utrecht,GGD Midden-Nederland,www.windroosveenendaal.nl,167622,448539,pc6hnrgeentoev,,204,16.25,64.5,118.75,4.5,0,0
500,41202,04FP,04FP00,School voor Speciaal Basisonderwijs Tobias,Algemeen bijzonder,SBAO,0,Prof. Lorentzlaan,16,3701CC,ZEIST,355,ZEIST,Utrecht,GGD Midden-Nederland,www.tobiaszeist.nl,145797,455331,pc6hnrgeentoev,,48,0,16,32,0,0,0
501,41400,21GQ,21GQ00,Luc Stevensschool,Openbaar,SBAO,0,Marco Pololaan,485,3526GH,UTRECHT,344,UTRECHT,Utrecht,GG en GD Utrecht,www.sbolucstevensschool.nl,135267,453129,pc6hnrgeentoev,,151,14.75,56,78.75,1.5,0,0
502,41514,16KH,16KH00,School voor Speciaal Basisonderwijs Dr M vd Hoeve,Openbaar,SBAO,0,Ringweg-Kruiskamp,106,3814WT,AMERSFOORT,307,AMERSFOORT,Utrecht,GGD Midden-Nederland,                                                                                ,156179,463382,pc6hnrgeentoev,,174,8.25,63.25,94.25,8.25,0,0
503,41528,03UO,03UO00,Chr School voor Speciaal Basisonderwijs De Brug,Protestants-Christelijk,SBAO,0,Zwanengat,3,4132XC,VIANEN UT,620,VIANEN,Utrecht,GGD Midden-Nederland,                                                                                ,134579,444767,pc6hnrgeentoev,,89,8,31.75,48.5,0.75,0,0
504,41644,01XA,01XA00,School voor Speciaal Basisonderwijs De Drieluik,Protestants-Christelijk,SBAO,0,James Cookstraat,10,3814XD,AMERSFOORT,307,AMERSFOORT,Utrecht,GGD Midden-Nederland,www.sbo-dewerf.nl,156024,463319,pc6hnrgeentoev,,43,1.75,17.5,23,0.75,0,0
505,41644,23WK,23WK00,Geref School voor Speciaal Basisonderwijs Het Baken,Protestants-Christelijk,SBAO,0,James Cookstraat,10,3814XD,AMERSFOORT,307,AMERSFOORT,Utrecht,GGD Midden-Nederland,www.sbo-dewerf.nl,156024,463319,pc6hnrgeentoev,,65,12.5,23,29.5,0,0,0
506,41879,01JW,01JW00,School voor Speciaal Basisonderwijs Het Klaverblad,Algemeen bijzonder,SBAO,0,Pauwenkamp,347,3607TC,MAARSSEN,1904,STICHTSE VECHT,Utrecht,GGD Midden-Nederland,www.hetklaverblad-sbo.nl,129843,461022,pc6hnrgeentoev,,85,6,26.5,50.25,2.25,0,0
